num_expediente,dia_hora,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona
2021S022319,2021-11-25 10:00:00,2.0,ARGANZUELA,Alcance,Despejado,Camión rígido,Conductor
2021S022319,2021-11-25 10:00:00,2.0,ARGANZUELA,Alcance,Despejado,Turismo,Conductor
2021S022320,2021-11-26 07:00:00,3.0,RETIRO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022320,2021-11-26 07:00:00,3.0,RETIRO,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero
2021S022321,2021-11-26 08:00:00,8.0,FUENCARRAL-EL PARDO,Colisión lateral,Despejado,Autobús,Conductor
2021S022321,2021-11-26 08:00:00,8.0,FUENCARRAL-EL PARDO,Colisión lateral,Despejado,Furgoneta,Conductor
2021S022323,2021-11-26 05:00:00,21.0,BARAJAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022324,2021-11-25 13:00:00,5.0,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor
2021S022324,2021-11-25 13:00:00,5.0,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor
2021S022324,2021-11-25 13:00:00,5.0,CHAMARTÍN,Alcance,Despejado,Turismo,Pasajero
2021S022325,2021-11-25 11:00:00,5.0,CHAMARTÍN,Colisión lateral,Despejado,Camión rígido,Conductor
2021S022325,2021-11-25 11:00:00,5.0,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Conductor
2021S022326,2021-11-25 13:00:00,4.0,SALAMANCA,Alcance,Despejado,Ciclomotor,Conductor
2021S022326,2021-11-25 13:00:00,4.0,SALAMANCA,Alcance,Despejado,Turismo,Conductor
2021S022327,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión frontal,Despejado,Motocicleta hasta 125cc,Conductor
2021S022327,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión frontal,Despejado,Motocicleta hasta 125cc,Pasajero
2021S022327,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión frontal,Despejado,Turismo,Conductor
2021S022327,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión frontal,Despejado,Turismo,Pasajero
2021S022328,2021-11-26 10:00:00,4.0,SALAMANCA,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022328,2021-11-26 10:00:00,4.0,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Todo terreno,Conductor
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Turismo,Conductor
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Turismo,Conductor
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Turismo,Conductor
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Turismo,Pasajero
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Turismo,Pasajero
2021S022329,2021-11-26 08:00:00,14.0,MORATALAZ,Colisión múltiple,Nublado,Turismo,Pasajero
2021S022331,2021-11-26 10:00:00,1.0,CENTRO,Caída,Despejado,Ciclomotor,Conductor
2021S022331,2021-11-26 10:00:00,1.0,CENTRO,Caída,Despejado,Ciclomotor,Pasajero
2021S022332,2021-11-26 09:00:00,1.0,CENTRO,Choque contra obstáculo fijo,Despejado,Camión rígido,Conductor
2021S022332,2021-11-26 09:00:00,1.0,CENTRO,Choque contra obstáculo fijo,Despejado,Ciclomotor,Conductor
2021S022333,2021-11-26 05:00:00,21.0,BARAJAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022335,2021-11-26 10:00:00,7.0,CHAMBERÍ,Atropello a persona,Despejado,VMU eléctrico,Conductor
2021S022335,2021-11-26 10:00:00,7.0,CHAMBERÍ,Atropello a persona,Despejado,VMU eléctrico,Peatón
2021S022337,2021-11-26 11:00:00,6.0,TETUÁN,Alcance,Despejado,Furgoneta,Conductor
2021S022337,2021-11-26 11:00:00,6.0,TETUÁN,Alcance,Despejado,Turismo,Conductor
2021S022337,2021-11-26 11:00:00,6.0,TETUÁN,Alcance,Despejado,Turismo,Conductor
2021S022338,2021-11-19 09:00:00,12.0,USERA,Atropello a persona,Despejado,Autobús,Conductor
2021S022338,2021-11-19 09:00:00,12.0,USERA,Atropello a persona,Despejado,Autobús,Peatón
2021S022339,2021-11-26 13:00:00,7.0,CHAMBERÍ,Caída,Despejado,VMU eléctrico,Conductor
2021S022340,2021-11-26 12:00:00,4.0,SALAMANCA,Caída,Despejado,Ciclomotor,Conductor
2021S022342,2021-11-26 14:00:00,16.0,HORTALEZA,Atropello a persona,Despejado,Turismo,Conductor
2021S022342,2021-11-26 14:00:00,16.0,HORTALEZA,Atropello a persona,Despejado,Turismo,Peatón
2021S022343,2021-11-26 13:00:00,19.0,VICÁLVARO,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022343,2021-11-26 13:00:00,19.0,VICÁLVARO,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022343,2021-11-26 13:00:00,19.0,VICÁLVARO,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S022344,2021-11-26 14:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Conductor
2021S022344,2021-11-26 14:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022344,2021-11-26 14:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Turismo,Pasajero
2021S022345,2021-11-26 14:00:00,4.0,SALAMANCA,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022345,2021-11-26 14:00:00,4.0,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022346,2021-11-26 14:00:00,15.0,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Camión rígido,Conductor
